Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num,Alvo_Sucesso,Empresa_Cod,Pais_Cod,Probabilidade_Sucesso,Probabilidade_Falha,Previsao_IA_Status
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2008,6.0,19.0,6.0,Cosmos-3M (11K65M),Orbcomm Satellites,Russia,3,0,1,52.0,13.0,0.7104352278302862,0.2895647721697139,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2008,6.0,12.0,22.0,Ariane 5 ECA,Skynet 5C & Turksat 3A,France,3,1,1,3.0,3.0,0.9465605594425581,0.053439440557441965,1
ULA,StatusRetired,123.0,Success,USA,Florida,2008,6.0,11.0,16.0,Delta II 7920H-10C,GLAST,United States,3,0,1,48.0,16.0,0.8829369272070543,0.11706307279294577,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2008,6.0,9.0,12.0,Long March 3B,ChinaSat 9,China,3,1,1,7.0,2.0,0.7766240311254717,0.22337596887452804,1
NASA,StatusRetired,450.0,Success,USA,Florida,2008,5.0,31.0,21.0,Space Shuttle Discovery,STS-124,United States,3,0,1,35.0,16.0,0.9455590203778937,0.05444097962210615,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2008,5.0,27.0,3.0,Long March 4C,Fengyun-3A,China,3,1,1,7.0,2.0,0.9135926724991926,0.0864073275008075,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2008,5.0,23.0,15.0,Rokot/Briz KM,"Cosmos 2437 to 2439, Youbilielnyi",Russia,3,0,1,52.0,13.0,0.4843034258028292,0.5156965741971709,0
Sea Launch,StatusActive,41.8,Success,Pacific Ocean,Kiritimati Launch Area,2008,5.0,21.0,9.0,Zenit-3 SL,Galaxy 18,International Waters,3,1,1,45.0,5.0,0.8415349143800037,0.15846508561999664,1
Land Launch,StatusActive,41.8,Partial Failure,Kazakhstan,Baikonur Cosmodrome,2008,4.0,28.0,5.0,Zenit-3 SLB,AMOS 3,Kazakhstan,2,1,0,29.0,9.0,0.8449470911986952,0.155052908801305,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2008,4.0,28.0,3.0,PSLV-CA,Cartosat-2A & Rideshares,India,3,1,1,23.0,4.0,0.9601773319987448,0.03982266800125515,1
CASC,StatusActive,20.14,Success,China,Xichang Satellite Launch Center,2008,4.0,25.0,15.0,Long March 3C,Tianlian I-01,China,3,1,1,7.0,2.0,0.8278157107328696,0.17218428926713036,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2008,4.0,18.0,22.0,Ariane 5 ECA,Star One C2 & Vinasat-1,France,3,1,1,3.0,3.0,0.912775883690454,0.0872241163095461,1
Northrop,StatusActive,40.0,Success,USA,Marshall Islands,2008,4.0,15.0,17.0,Pegasus XL,C/NOFS,United States,3,1,1,36.0,16.0,0.6837639157175872,0.31623608428241246,1
ULA,StatusActive,123.0,Success,USA,Florida,2008,4.0,14.0,20.0,Atlas V 421,ICO G1,United States,3,1,1,48.0,16.0,0.9417563703497206,0.05824362965027968,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2008,3.0,27.0,17.0,Cosmos-3M (11K65M),SAR-Lupe 4,Russia,3,0,1,52.0,13.0,0.5559941701840224,0.4440058298159775,1
Sea Launch,StatusActive,41.8,Success,Pacific Ocean,Kiritimati Launch Area,2008,3.0,19.0,22.0,Zenit-3 SL,DirecTV-11,International Waters,3,1,1,45.0,5.0,0.8741266910761264,0.1258733089238738,1
ULA,StatusRetired,123.0,Success,USA,Florida,2008,3.0,15.0,6.0,Delta II 7925,GPS IIRM-6,United States,3,0,1,48.0,16.0,0.9295515333361097,0.07044846666389044,1
ULA,StatusActive,115.0,Success,USA,California,2008,3.0,13.0,10.0,Atlas V 411,NROL-28,United States,3,1,1,48.0,16.0,0.8749055618704159,0.12509443812958443,1
NASA,StatusRetired,450.0,Success,USA,Florida,2008,3.0,11.0,6.0,Space Shuttle Endeavour,STS-123,United States,3,0,1,35.0,16.0,0.9651325743692608,0.034867425630739225,1
Arianespace,StatusRetired,200.0,Success,France,French Guiana,2008,3.0,9.0,4.0,Ariane 5 ES,Jules Verne ATV,France,3,0,1,3.0,3.0,0.8644775543880164,0.13552244561198362,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2008,2.0,23.0,8.0,H-IIA 202,Kizuna,Japan,3,1,1,32.0,8.0,0.8661279620464427,0.13387203795355718,1
NASA,StatusRetired,450.0,Success,USA,Florida,2008,2.0,7.0,19.0,Space Shuttle Atlantis,STS-122,United States,3,0,1,35.0,16.0,0.928144206799881,0.07185579320011888,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2008,1.0,21.0,3.0,PSLV-CA,TecSAR,India,3,1,1,23.0,4.0,0.9699874659700747,0.030012534029925497,1
Sea Launch,StatusActive,41.8,Success,Pacific Ocean,Kiritimati Launch Area,2008,1.0,15.0,11.0,Zenit-3 SL,Thuraya-3,International Waters,3,1,1,45.0,5.0,0.8702580595887054,0.1297419404112949,1
Arianespace,StatusRetired,200.0,Success,France,French Guiana,2007,12.0,21.0,21.0,Ariane 5 GS,Rascom-QAF1 & Horizons-2,France,3,0,1,3.0,3.0,0.7791267612482731,0.22087323875172696,1
ULA,StatusRetired,123.0,Success,USA,Florida,2007,12.0,20.0,20.0,Delta II 7925,GPS IIRM-5,United States,3,0,1,48.0,16.0,0.9280684344847342,0.07193156551526556,1
ULA,StatusActive,109.0,Success,USA,Florida,2007,12.0,10.0,22.0,Atlas V 401,NROL-24,United States,3,1,1,48.0,16.0,0.9443422651277196,0.05565773487228029,1
ULA,StatusRetired,123.0,Success,USA,California,2007,12.0,9.0,2.0,Delta II 7420-10C,COSMO-2,United States,3,0,1,48.0,16.0,0.9512409266327927,0.0487590733672072,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2007,11.0,14.0,22.0,Ariane 5 ECA,Skynet 5B & Star One C1,France,3,1,1,3.0,3.0,0.9323847084380037,0.06761529156199653,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2007,11.0,11.0,22.0,Long March 4C,Yaogan 3,China,3,1,1,7.0,2.0,0.8954207153070113,0.10457928469298908,1
ULA,StatusActive,350.0,Success,USA,Florida,2007,11.0,11.0,1.0,Delta IV Heavy,DSP-23,United States,3,1,1,48.0,16.0,0.9508521270342913,0.049147872965708723,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2007,11.0,1.0,0.0,Cosmos-3M (11K65M),SAR-Lupe 3,Russia,3,0,1,52.0,13.0,0.8322432409512773,0.1677567590487224,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2007,10.0,24.0,10.0,Long March 3B,Chang'e 1,China,3,1,1,7.0,2.0,0.895214347270779,0.10478565272922111,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2007,10.0,23.0,4.0,Molniya-M /Block 2BL,Cosmos 2430,Russia,3,0,1,52.0,13.0,0.8074832188207858,0.1925167811792141,1
NASA,StatusRetired,450.0,Success,USA,Florida,2007,10.0,23.0,3.0,Space Shuttle Discovery,STS-120,United States,3,0,1,35.0,16.0,0.9571415012465458,0.04285849875345418,1
ULA,StatusRetired,123.0,Success,USA,Florida,2007,10.0,17.0,12.0,Delta II 7925,GPS IIRM-4,United States,3,0,1,48.0,16.0,0.8699055615096537,0.13009443849034633,1
ULA,StatusActive,123.0,Success,USA,Florida,2007,10.0,11.0,0.0,Atlas V 421,WSG-1,United States,3,1,1,48.0,16.0,0.940972343882169,0.05902765611783118,1
Arianespace,StatusRetired,200.0,Success,France,French Guiana,2007,10.0,5.0,22.0,Ariane 5 GS,Intelsat 11 & Optus D2,France,3,0,1,3.0,3.0,0.8347455989331457,0.16525440106685438,1
ULA,StatusRetired,123.0,Success,USA,Florida,2007,9.0,27.0,11.0,Delta II 7925H,Dawn,United States,3,0,1,48.0,16.0,0.8637612654747971,0.13623873452520296,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2007,9.0,19.0,3.0,Long March 4B,CBERS-2B,China,3,1,1,7.0,2.0,0.9459814452622718,0.0540185547377285,1
ULA,StatusRetired,123.0,Success,USA,California,2007,9.0,18.0,18.0,Delta II 7920-10C,DigitalGlobe WorldView-1,United States,3,0,1,48.0,16.0,0.8895493929701985,0.11045060702980182,1
MHI,StatusRetired,90.0,Success,Japan,Tanegashima Space Center,2007,9.0,14.0,1.0,H-IIA 2022,SELENE,Japan,3,0,1,32.0,8.0,0.7942222657233701,0.20577773427662954,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2007,9.0,11.0,13.0,Cosmos-3M (11K65M),Cosmos 2429,Russia,3,0,1,52.0,13.0,0.5318836259451358,0.4681163740548643,1
ISRO,StatusRetired,47.0,Partial Failure,India,Satish Dhawan Space Centre,2007,9.0,2.0,12.0,GSLV Mk I,INSAT-4CR,India,2,0,0,23.0,4.0,0.06754453686194806,0.9324554631380522,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2007,8.0,14.0,23.0,Ariane 5 ECA,Spaceway-3 & BSat-3A,France,3,1,1,3.0,3.0,0.9680579103017074,0.031942089698292805,1
NASA,StatusRetired,450.0,Success,USA,Florida,2007,8.0,8.0,22.0,Space Shuttle Endeavour,STS-118,United States,3,0,1,35.0,16.0,0.9498229755616336,0.0501770244383662,1
ULA,StatusRetired,123.0,Success,USA,Florida,2007,8.0,4.0,9.0,Delta II 7925,Phoenix,United States,3,0,1,48.0,16.0,0.8721999474513042,0.127800052548696,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2007,7.0,5.0,20.0,Long March 3B,Chinasat-6B,China,3,1,1,7.0,2.0,0.8625860388883431,0.13741396111165702,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2007,7.0,2.0,19.0,Cosmos-3M (11K65M),SAR-Lupe 2,Russia,3,0,1,52.0,13.0,0.6053820033534562,0.3946179966465437,1
VKS RF,StatusRetired,41.8,Success,Kazakhstan,Baikonur Cosmodrome,2007,6.0,29.0,10.0,Zenit-2,Cosmos 2428,Kazakhstan,3,0,1,52.0,9.0,0.6696104584127753,0.33038954158722456,1
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2007,6.0,28.0,15.0,Dnepr,Genesis 2,Russia,3,0,1,28.0,13.0,0.5350806661574518,0.464919333842548,1
ULA,StatusActive,109.0,Partial Failure,USA,Florida,2007,6.0,15.0,15.0,Atlas V 401,NROL-30 & NOSS-3,United States,2,1,0,48.0,16.0,0.6868119998896373,0.31318800011036285,1
Kosmotras,StatusRetired,29.0,Success,Kazakhstan,Baikonur Cosmodrome,2007,6.0,15.0,2.0,Dnepr,TerraSAR-X,Kazakhstan,3,0,1,28.0,9.0,0.8649053546852823,0.1350946453147179,1
IAI,StatusActive,79.85,Success,Israel,Palmachim Airbase,2007,1.0,,11.0,Shavit-2,Ofek-7,Israel,3,1,1,18.0,7.0,0.6513987911212171,0.34860120887878304,1
NASA,StatusRetired,450.0,Success,USA,Florida,2007,6.0,8.0,23.0,Space Shuttle Atlantis,STS-117,United States,3,0,1,35.0,16.0,0.9626304674729302,0.03736953252706964,1
ULA,StatusRetired,123.0,Success,USA,California,2007,6.0,8.0,2.0,Delta II 7420-10C,COSMO-SkyMed,United States,3,0,1,48.0,16.0,0.9136590134215979,0.08634098657840202,1
CASC,StatusActive,69.7,Success,China,Xichang Satellite Launch Center,2007,5.0,31.0,16.0,Long March 3A,SinoSat 3,China,3,1,1,7.0,2.0,0.8135148303673917,0.18648516963260833,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2007,5.0,25.0,7.0,Long March 2D,Yaogan 2 & ZDPS-1,China,3,1,1,7.0,2.0,0.8939985059400196,0.10600149405998037,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2007,5.0,13.0,16.0,Long March 3B/E,NIGCOMSAT-1,China,3,1,1,7.0,2.0,0.826187786117401,0.17381221388259915,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2007,5.0,4.0,22.0,Ariane 5 ECA,Astra 1L & Galaxy 17,France,3,1,1,3.0,3.0,0.938404916215712,0.06159508378428824,1
Northrop,StatusActive,40.0,Success,USA,California,2007,4.0,25.0,20.0,Pegasus XL,AIM,United States,3,1,1,36.0,16.0,0.7540254894274389,0.24597451057256103,1
