Tipo_Combustivel,Ano,Pais_Lancamento,Nome_Satellites_Carga,Dia,Probabilidade_Falha_IA,Status_do_Foguete,Idade_da_Empresa,Nome_da_Empresa,Capacidade_Maxima_LEO_KG,Foguete_Reutilizavel,Peso_Real_da_Carga_KG,Status_da_Missao,Previsao_IA_Status,Mes,Regiao_Lancamento,Tipo_de_Missao,Probabilidade_Sucesso_IA,Hora,Custo_da_Missao,Setor_da_Empresa,Orbita_Destino,Modelo_Foguete,Latitude,Longitude
Não Informado,2000,Usa,STS-92,11,0.0403770571961635,StatusRetired,42.0,NASA,0.0,0,0.0,Success,1,10,Florida,Não Informado,0.9596229428038364,23.0,450.0,Civil,Não Informado,Space Shuttle Discovery,28.56,-80.58
Não Informado,2000,Usa,HETE 2,9,0.1457426163474251,StatusRetired,-3.0,Northrop,0.0,0,0.0,Success,1,10,Marshall Islands,Não Informado,0.854257383652575,5.0,40.0,Não Informado,Não Informado,Pegasus,8.72,167.73
Não Informado,2000,France,N-SAT 110,6,0.1229933092074072,StatusRetired,20.0,Arianespace,0.0,0,0.0,Success,1,10,French Guiana,Não Informado,0.8770066907925926,23.0,200.0,Commercial,Não Informado,Ariane 42L,5.24,-52.77
N2O4/Udmh,2000,Kazakhstan,Megsat 1 & Others,26,0.4955805625749761,StatusRetired,-3.0,Kosmotras,2041.0,0,0.0,Success,1,9,Baikonur Cosmodrome,Não Informado,0.5044194374250239,10.0,29.0,Não Informado,Não Informado,Dnepr,45.92,63.34
Lox/Rp-1,2000,Kazakhstan,Cosmos 2372,25,0.303516112462076,StatusRetired,8.0,VKS RF,6232.0,0,0.0,Success,1,9,Baikonur Cosmodrome,Não Informado,0.6964838875379242,10.0,41.8,Civil,Não Informado,Zenit-2,45.92,63.34
Não Informado,2000,Usa,NOAA-16,21,0.4803744529359258,StatusRetired,-6.0,Lockheed,0.0,0,0.0,Success,1,9,California,Não Informado,0.5196255470640744,10.0,35.0,Commercial,Não Informado,Titan II(23)G,34.63,-120.61
Não Informado,2000,France,Astra 2B & GE-7,14,0.2175369965728208,StatusRetired,20.0,Arianespace,0.0,0,0.0,Success,1,9,French Guiana,Não Informado,0.7824630034271794,22.0,200.0,Commercial,Não Informado,Ariane 5 G,5.24,-52.77
Não Informado,2000,Usa,STS-106,8,0.0571857858663032,StatusRetired,42.0,NASA,0.0,0,0.0,Success,1,9,Florida,Não Informado,0.9428142141336964,12.0,450.0,Civil,Não Informado,Space Shuttle Atlantis,28.56,-80.58
Não Informado,2000,France,Eutelsat W1,6,0.2175369965728208,StatusRetired,20.0,Arianespace,0.0,0,0.0,Success,1,9,French Guiana,Não Informado,0.7824630034271794,22.0,200.0,Commercial,Não Informado,Ariane 44P,5.24,-52.77
Não Informado,2000,Usa,DM F3,23,0.0285890155235179,StatusRetired,-6.0,Boeing,0.0,0,0.0,Success,1,8,Florida,Não Informado,0.971410984476482,11.0,164.0,Commercial,Não Informado,Delta III 8930,28.56,-80.58
Não Informado,2000,Usa,NROL-11 (Onyx),17,0.3236831928354078,StatusRetired,-6.0,Lockheed,0.0,0,0.0,Success,1,8,California,Não Informado,0.6763168071645922,23.0,35.0,Commercial,Não Informado,Titan IV(403)B,34.63,-120.61
Não Informado,2000,France,"Brasilsat B4, Nilesat 102",17,0.1212650047926794,StatusRetired,20.0,Arianespace,0.0,0,0.0,Success,1,8,French Guiana,Não Informado,0.8787349952073207,23.0,200.0,Commercial,Não Informado,Ariane 44LP,5.24,-52.77
Não Informado,2000,Pacific Ocean,PAS 9,28,0.1538030536807999,StatusActive,-3.0,Sea Launch,0.0,0,0.0,Success,1,7,Kiritimati Launch Area,Não Informado,0.8461969463192,22.0,109.0,Não Informado,Não Informado,Zenit-3 SL,1.88,-157.4
Solid,2000,Usa,MightySat 2.1,19,0.3071757978048052,StatusActive,-3.0,Northrop,263.0,0,0.0,Success,1,7,California,Não Informado,0.6928242021951945,20.0,40.0,Não Informado,Não Informado,Minotaur I,34.63,-120.61
Não Informado,2000,Usa,GPS IIR-5,16,0.0305719667689186,StatusRetired,-6.0,Boeing,0.0,0,0.0,Success,1,7,Florida,Não Informado,0.9694280332310814,9.0,164.0,Commercial,Não Informado,Delta II 7925,28.56,-80.58
