Data,Lancamentos_Reais,Previsao_IA,Previsao_Minima,Previsao_Maxima
1981-05-01,5.0,6.0378213076459115,2.8235432992176586,9.050796809779428
1981-06-01,6.0,7.111510900419782,3.9183599613395317,10.40126273685001
1981-07-01,1.0,6.666986273354317,3.4630049861014958,9.761294033132515
1981-08-01,9.0,6.686049745086312,3.632044453983172,10.206573860503394
1981-09-01,8.0,6.614405627474747,3.3535754359188688,9.92407993819779
1981-10-01,4.0,7.099464029065823,3.8707800496287796,10.248499715729006
1981-11-01,3.0,6.015574402290173,2.884013016919288,9.10473522944258
1981-12-01,6.0,7.69981971935802,4.364723549083051,10.871385895129311
1982-01-01,5.0,7.164825513380189,3.847560772765959,10.462828903028985
1982-02-01,4.0,6.206191600703856,3.0408885368941596,9.653495458231976
1982-03-01,10.0,6.358102068016261,3.223663178802377,9.290859717007443
1982-04-01,5.0,6.885001275631994,3.5573481035842547,10.02193486388697
1982-05-01,6.0,6.1073921129977276,2.989664747683312,9.223457890570995
1982-06-01,10.0,6.978111682029744,3.9394953999810163,10.1987161101709
1982-07-01,4.0,6.267766294010785,3.0682806993744016,9.420726530215441
1982-08-01,5.0,6.4357681525785155,3.3365443674315194,9.577770438145073
1982-09-01,8.0,6.562163225473442,3.161901919307737,9.71704495052799
1982-10-01,2.0,6.7954361983106555,3.4397258769566976,9.89509588948802
1982-11-01,4.0,6.056229639214212,2.6196447540948795,9.19215096708852
1982-12-01,4.0,7.873689373038878,4.6380735011401155,10.993270007314736
1983-01-01,6.0,6.969804997337646,3.8229655430629967,10.331316406378102
1983-02-01,4.0,5.737390309388749,2.5957612694365766,9.001573438444069
1983-03-01,6.0,5.981815260934282,2.8884792951241116,9.215786118091156
1983-04-01,9.0,7.168726410519822,3.954264355227623,10.65801031736297
1983-05-01,6.0,6.171076666967763,3.130350114134137,9.33632653672579
1983-06-01,5.0,6.83532975528378,3.664911193683052,9.909108306861281
1983-07-01,6.0,5.86590866175394,2.623261577453496,9.091937866534911
1983-08-01,5.0,6.1898037718404,3.10491479573261,9.53365825016917
1983-09-01,3.0,6.512066532759566,3.151052339751765,9.687213318347721
1983-10-01,6.0,6.495363675679254,3.3471595657593567,9.641635759569676
1983-11-01,5.0,6.103318385326084,2.726690901720562,9.270837182727423
1983-12-01,5.0,8.041250167055843,4.804105548647207,11.158767284968992
1984-01-01,8.0,6.76308228503746,3.495691085360862,9.889535963738904
1984-02-01,6.0,5.265024735098553,2.1542979348947524,8.708801551865864
1984-03-01,4.0,6.584961075727627,3.34312285075407,9.97363639410305
1984-04-01,5.0,5.780349565151074,2.795538594230956,9.149451900678397
1984-05-01,5.0,5.400112515242896,1.983001820419731,8.595135745759958
1984-06-01,8.0,6.672918520227885,3.408846680118328,10.174394956246987
1984-07-01,2.0,6.500585042740371,3.1285895453093793,9.887319385502607
1984-08-01,10.0,6.37781625732318,3.060472608376371,9.551720174951882
1984-09-01,6.0,6.106175854360515,3.029453301106523,9.215566106227085
1984-10-01,5.0,6.844715908926977,3.6758801175781133,10.072532580137693
1984-11-01,4.0,5.419003362866811,2.014635035652657,8.458042873260075
1984-12-01,6.0,6.957422908852545,3.985997496424312,10.334038796182886
1985-01-01,9.0,6.785423815670579,3.8067577866208033,9.888449858373729
1985-02-01,5.0,6.108300792257342,2.7198334338027874,9.47398201050368
1985-03-01,5.0,6.184146168770591,3.164706441547058,9.333378949413774
1985-04-01,3.0,6.046961314683814,2.7637206124430804,9.313070222169717
1985-05-01,4.0,5.475190580533512,2.2317188924806,8.923077367460719
1985-06-01,8.0,6.5488802065465705,3.2274013933210237,9.728319729353855
1985-07-01,4.0,6.104355611648563,2.7697250100982242,9.11933256427522
1985-08-01,7.0,6.123419116620742,2.687776392006316,9.204273748974698
1985-09-01,6.0,6.051775032248432,2.843609925130007,9.247819725292551
1985-10-01,13.0,6.5368334660071135,3.393257421683361,9.616210601534844
1985-11-01,5.0,5.452943872471736,2.4799875282712915,8.65077209308602
1985-12-01,5.0,7.1371892217062305,4.084157808400964,10.730366571206421
1986-01-01,7.0,6.602195048968559,3.2936644043373575,9.838672598789644
1986-02-01,8.0,5.644264010112163,2.609238856018703,8.80682391346859
1986-03-01,3.0,5.796809331245242,2.5629552429014657,9.00238788355977
1986-04-01,3.0,6.324411412735266,3.105429463437859,9.587223928242704
1986-05-01,4.0,5.547482450623307,2.523079661254949,8.746900429927999
1986-06-01,4.0,6.418904893528345,3.0201186673198785,9.684821655490362
1986-07-01,5.0,5.709239706031882,2.5798252526253167,8.721539163557798
1986-08-01,4.0,5.877944438472891,2.5104653206531538,9.351321785849784
1986-09-01,5.0,6.005042385241573,3.057372109764226,9.264325591266651
1986-10-01,7.0,6.238995558601249,3.130458238705805,9.383452337093944
1986-11-01,5.0,5.500491873377192,2.272082820214149,8.730566435062377
1986-12-01,7.0,7.318631807726242,4.298035256165004,10.663526365988613
1987-01-01,8.0,6.415450305897476,3.006070899337865,9.438457729288148
1987-02-01,7.0,5.183738491821895,1.8954040096580755,8.602730433336456
1987-03-01,5.0,5.428798297189029,2.040334880416394,8.490420928331888
1987-04-01,2.0,6.6164123206491245,3.4328837964617,9.83823696993294
1987-05-01,3.0,5.619442777618255,2.43457394049929,8.700823406895918
1987-06-01,7.0,6.284398739807673,3.0470943830976487,9.396076577620482
1987-07-01,5.0,5.315657846801156,2.0026369768073065,8.679962738338642
1987-08-01,5.0,5.640255830759921,2.4241234095046993,8.86239841902099
1987-09-01,3.0,5.963221465553002,2.7600369409225243,9.051005424440458
1987-10-01,4.0,5.947198808994472,2.686575176277398,8.853637448285841
1987-11-01,2.0,5.5558563925165,2.3725015142340378,8.752742829963394
1987-12-01,5.0,7.494468374768431,4.167262019554442,10.559131546788072
1988-01-01,5.0,6.217003366623359,3.1390815229133935,9.37013303358321
1988-02-01,3.0,4.720651062826514,1.5488885171853766,7.6972817350346
1988-03-01,10.0,6.042182633714868,2.822143290449725,9.175477752118416
1988-04-01,2.0,5.239276369281305,2.1186597362313937,8.19692683546687
